,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
49,South Korea,Asia,25.52,0.958983,51700000.0,51700000.0,34100.0,36800.0,306.24,0.008980645161290322,412.5632081192647,0.011210956742371323,0.021114369501466276,0.0225
50,Kuwait,Asia,48.89,0.996,4320000.0,4350000.0,34800.0,32299.999999999996,586.6800000000001,0.016858620689655174,790.3689359306759,0.024469626499401733,0.020689655172413793,0.02563467492260062
51,Kyrgyz Republic,Asia,28.7,0.38,6220000.0,6840000.0,1270.0,1290.0,344.4,0.2711811023622047,463.9719464350665,0.3596681755310593,0.5669291338582677,0.641860465116279
52,Lao,Asia,47.24,0.255104,7110000.0,7740000.0,2580.0,2950.0,566.88,0.21972093023255815,763.6945905781374,0.2588795222298771,0.27906976744186046,0.28067796610169493
53,Lebanon,Asia,40.14,0.781808,5950000.0,5220000.0,8070.0,4370.0,481.68,0.05968773234200744,648.914074212668,0.1484929231607936,0.08921933085501858,0.18947368421052632
54,Malaysia,Asia,31.75,0.812017,32400000.0,34700000.0,11100.0,12600.0,381.0,0.03432432432432433,513.2790696624863,0.04073643410019733,0.06486486486486487,0.06571428571428571
55,Maldives,Asia,88.53,0.631857,490000.0,518000.0,9590.0,9800.0,1062.3600000000001,0.11077789363920752,1431.199875188029,0.1460408035906152,0.07507820646506778,0.08448979591836735
56,Mongolia,Asia,12.59,0.237143,3160000.0,3490000.0,3840.0,4410.0,151.07999999999998,0.03934375,203.53333817482536,0.046152684393384436,0.1875,0.18775510204081633
57,Myanmar,Asia,36.82,0.306782,52700000.0,55000000.0,1270.0,1340.0,441.84000000000003,0.34790551181102364,595.2420581093779,0.44421049112640143,0.5669291338582677,0.6179104477611941
58,Nepal,Asia,12.05,0.34,28500000.0,31200000.0,1170.0,1350.0,144.60000000000002,0.1235897435897436,194.80355242308545,0.14429892772080405,0.6153846153846154,0.6133333333333333
